No,accessions,anastomosis_group,host_common,host_scientific,host_groups,country,year,Comment
193,JX161915,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
194,JX161916,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
195,JX161917,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
196,JX161918,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
197,JX161919,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
198,JX161920,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
199,JX161921,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
200,JX161922,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
201,JX161923,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
202,JX161924,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
203,JX161925,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
204,JX161926,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
205,JX161927,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
206,JX161928,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
207,JX161929,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
208,JX161930,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
209,JX161931,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
210,JX161932,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
211,JX161933,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
212,JX161934,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
213,JX161935,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
214,JX161936,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
215,JX161937,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
216,JX161938,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
217,JX161939,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
218,JX161940,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
219,JX161941,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
220,JX161942,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
221,JX161943,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
222,JX161944,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
223,JX161945,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
224,JX161946,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
225,JX161947,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
226,JX161948,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
227,JX161949,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
228,JX161950,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
229,JX161951,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
230,JX161952,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
231,JX161953,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
232,JX161954,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
233,JX161955,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
234,JX161956,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
235,JX161957,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
236,JX161958,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
237,JX161959,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
238,JX161960,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
239,JX161961,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
240,JX161962,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
241,JX161963,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
242,JX161964,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
243,JX161965,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
244,JX161966,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
245,JX161967,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
246,JX161968,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
247,JX161969,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
248,JX161970,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
249,JX161971,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
250,JX161972,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
251,JX161973,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
252,JX161974,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
253,JX161975,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
254,JX161976,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
255,JX161977,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
256,JX161978,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
257,JX161979,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
258,JX161980,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
259,JX161981,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
260,JX161982,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
261,JX161983,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
262,JX161984,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
263,JX161985,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
264,JX161986,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
265,JX161987,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
266,JX161988,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
267,JX161989,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
268,JX161990,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
269,JX161991,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
270,JX161992,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
271,JX161993,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
272,JX161994,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
273,JX161995,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
274,JX161996,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
275,JX161997,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
276,JX161998,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
277,JX161999,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
278,JX162000,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
279,JX162001,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
280,JX162002,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
281,JX162003,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
282,JX162004,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
283,JX162005,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
284,JX162006,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
285,JX162007,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
286,JX162008,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
287,JX162009,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
288,JX162010,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
289,JX162011,AG3,Potato,Solanum tuberosum,Solanaceae,New Zealand,2009,Das et al. 2013 (https://doi.org/10.1111/ppa.12139)
290,KF234140,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2012,Muzhinji et al. 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)
291,KF234142,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2012,Muzhinji et al. 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)
292,KF234143,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2012,Muzhinji et al. 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)
293,KF234144,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2012,Muzhinji et al. 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)
294,KJ170318,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
295,KJ170319,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
296,KJ170320,AG3,Potato,Solanum tuberosum,Solanaceae,China,2011,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
297,KJ170321,AG3,Potato,Solanum tuberosum,Solanaceae,China,2011,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
298,KJ170322,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
299,KJ170323,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
300,KJ170324,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
301,KJ170325,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
302,KJ170326,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
303,KJ170327,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
304,KJ170328,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
305,KJ170329,AG3,Potato,Solanum tuberosum,Solanaceae,China,2011,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
306,KJ170330,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
307,KJ170331,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
308,KJ170332,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
309,KJ170333,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
310,KJ170334,AG3,Potato,Solanum tuberosum,Solanaceae,China,2012,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
311,KJ170335,AG3,Potato,Solanum tuberosum,Solanaceae,China,2013,Yang et al. 2015 (DOI: 10.1007/s10658-015-0668-x)
312,KJ777545,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
313,KJ777546,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
314,KJ777548,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
315,KJ777549,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
316,KJ777550,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
317,KJ777551,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
318,KJ777552,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
319,KJ777553,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
320,KJ777554,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
321,KJ777555,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
322,KJ777556,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
323,KJ777557,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
324,KJ777558,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
325,KJ777559,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
326,KJ777561,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
327,KJ777562,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
328,KJ777563,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
329,KJ777566,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
330,KJ777567,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
331,KJ777568,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
332,KJ777570,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
333,KJ777573,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
334,KJ777574,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
335,KJ777577,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
336,KJ777578,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
337,KJ777581,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
338,KJ777582,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
339,KJ777586,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
340,KJ777589,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
341,KJ777590,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
342,KJ777591,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
343,KJ777593,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
344,KJ777594,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
345,KJ777595,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
346,KJ777597,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
347,KJ777598,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
348,KJ777600,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
349,KJ777602,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
350,KJ777603,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
351,KJ777604,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
352,KJ777605,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
353,KJ777606,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
354,KJ777607,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
355,KJ777608,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
356,KJ777609,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
357,KJ777610,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
358,KJ777611,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
359,KJ777612,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
360,KJ777613,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
361,KJ777614,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
362,KJ777615,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
363,KJ777616,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
364,KJ777617,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
365,KJ777619,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
366,KJ777620,AG3,Potato,Solanum tuberosum,Solanaceae,South Africa,2014,Muzhinji et al. 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)
