No,accessions,strain,anastomosis_group(AG),host_common,host_scientific,host_groups,host_group_summarized,host_solanaceae,country,state_province,collection_date,year,continent,region,Manuscript
27,KP059879,AG1-IA,AG1,ndian coral tree,Erythrina indica var. picta,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,21-Mar-13,2013,South America,Latin America & Caribbean,"Boari et al., 2018 (DOI: 10.1590/0100-5405/181932)"
28,MK734406,AG1-IE,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
29,MK734410,AG1-IE,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
30,MK734407,AG1-IE,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
31,MK734408,AG1-IE,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
32,MK734409,AG1-IE,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
33,MK734417,AG1-IF,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
34,MK734411,AG1-IF,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
35,MK734418,AG1-IF,AG1,soybean,Glycine max,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
36,MK734403,AG1-ID,AG1,common bean,Phaseolus vulgaris,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
37,MK734414,AG1-IF,AG1,cowpea,Vigna unguiculata,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
38,MK734415,AG1-IF,AG1,cowpea,Vigna unguiculata,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
39,MK734413,AG1-IF,AG1,cowpea,Vigna unguiculata,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
