No,accessions,strain,strain_summarized,anastomosis_group.AG.,host,host_common,host_scientific,host_families,host_group_summarized,country,state_province,collection_date,year,continent,region,Latitude,Longitude,manuscript
1490,MK852253,RHIZ-69A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1491,MK852255,RHIZ-7-A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1492,MK852256,RHIZ-71A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1493,MK852257,RHIZ-72A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1494,MK852258,RHIZ-73A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1495,MK852259,RHIZ-74A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1496,MK852260,RHIZ-76A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1497,MK852261,RHIZ-77A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1498,MK852262,RHIZ-78A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1499,MK852263,RHIZ-79A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1500,MK852264,RHIZ-8-A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1501,MK852265,RHIZ-82A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1502,MK852266,RHIZ-83A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1503,MK852267,RHIZ-84A,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
